name,state,city,office_address,telephone,email
Sunapee,New Hampshire,TRUE,PO BOX 303 SUNAPEE 03782,(603) 763-2449,betty@town.sunapee.nh.us
Surry,New Hampshire,TRUE,358 POND RD SURRY 03431,(603) 352-3075,townclerk@surry.nh.gov
Sutton,New Hampshire,TRUE,93 MAIN STREET SUTTON MILLS 03221,(603) 927-2401,townclerk@sutton-nh.org
Swanzey,New Hampshire,TRUE,PO BOX 10009 SWANZEY 03446,(603) 352-7411,rfontaine@town.swanzey.nh.us
Tamworth,New Hampshire,TRUE,84 MAIN STREET TAMWORTH 03886,(603) 323-7971,tctx@tamworthnh.org
Temple,New Hampshire,TRUE,PO BOX 69 TEMPLE 03084,(603) 878-3873,templeclerk@comcast.net
Thompson & Meserve's Purchase,New Hampshire,TRUE,20 PARK ST GORHAM 03581,(603) 466-2744,cporter@gorhamnh.org
Thornton,New Hampshire,TRUE,16 MERRILL ACCESS RD. THORNTON 03285,(603) 726-4232,townclerk@thorntonnh.org
Tilton,New Hampshire,TRUE,257 MAIN ST TILTON 03276,(603) 286-4425,tctc@tiltonnh.org
Troy,New Hampshire,TRUE,PO BOX 249 TROY 03465,(603) 242-3845,taxcollector@troy-nh.us
Tuftonboro,New Hampshire,TRUE,PO BOX 98 CTR TUFTONBORO 03816,(603) 569-4539,townclerk@tuftonboro.org
Unity,New Hampshire,TRUE,13 CENTER ROAD UNITY 03603,(603) 542-9665,unitytownclerk@myfairpoint.net
Wakefield,New Hampshire,TRUE,2 HIGH ST SANBORNVILLE 03872,(603) 522-6205,townclerk@wakefieldnh.com
Walpole,New Hampshire,TRUE,PO BOX 756 WALPOLE 03608,(603) 756-3514,ssmith@walpolenh.us
Warner,New Hampshire,TRUE,PO BOX 265 WARNER 03278,(603) 456-2298,townclerk@warner.nh.us
Warren,New Hampshire,TRUE,PO BOX 40 WARREN 03279,(603) 764-7705,warrentownclerk@gmail.com
Washington,New Hampshire,TRUE,7 HALFMOON POND RD WASHINGTON 03280,(603) 495-3667,jbarkie@washingtonnh.org
Waterville Valley,New Hampshire,TRUE,PO BOX 500 WATERVILLE VALLEY 03215,(603) 236-4730,wvtownclerk@watervillevalley.org
Weare,New Hampshire,TRUE,15 FLANDERS MEMORIAL RD WEARE 03281,(603) 529-7575,mbillodeau@weare.nh.gov
Webster,New Hampshire,TRUE,945 BATTLE ST WEBSTER 03303,(603) 648-2272,townclerk@webster-nh.gov
Wentworth,New Hampshire,TRUE,P.O. BOX 2 WENTWORTH 03282,(603) 764-5244,townclerk@wentworth-nh.org
Wentworth's Location,New Hampshire,TRUE,PO BOX 100 ERROL 03579,(603) 482-3351,erroltownclerk@gmail.com
Westmoreland,New Hampshire,TRUE,PO BOX 111 WESTMORELAND 03467,(603) 399-7211,westmorelandtownclerk@gmail.com
Whitefield,New Hampshire,TRUE,56 LITTLETON ROAD WHITEFIELD 03598,(603) 837-9871,townclerk@whitefieldnh.org
Wilmot,New Hampshire,TRUE,PO BOX 94 WILMOT 03287,(603) 526-9639,wilmot_tc@wilmotnh.org
Wilton,New Hampshire,TRUE,PO BOX 83 WILTON 03086,(603) 654-9451,jfarrell@wiltonnh.org
Winchester,New Hampshire,TRUE,PO BOX 512 WINCHESTER 03470,(603) 239-6233,jtetreault@winchester.nh.gov
Windham,New Hampshire,TRUE,3 NORTH LOWELL ROAD WINDHAM 03087,(603) 434-5075,nbottai@windhamnh.gov
Windsor,New Hampshire,TRUE,14 WHITE POND ROAD WINDSOR 03244,(603) 478-3292,windsor.nhtownclerk@gsinet.net
Wolfeboro,New Hampshire,TRUE,"84 SOUTH MAIN STREET, PO BOX 1207 WOLFEBORO 03894",(603) 569-5328,townclerk@wolfeboronh.us
Woodstock,New Hampshire,TRUE,PO BOX 156 N WOODSTOCK 03262,(603) 745-8752,townclerk@woodstocknh.org
