name,state,city,website,telephone,email,office_address,mailing_address
Stafford,Connecticut,TRUE,http://www.staffordct.org/registrar.php,(860) 684-1770,sue3strong@gmail.com;staffordrov.rep@gmail.com,"Warren Memorial Town Hall, 1 Main Street
Stafford Springs, CT 6076","PO Box 11
Stafford Springs, CT 06076-0011"
Stamford,Connecticut,TRUE,http://www.stamfordct.gov/registrar-of-voters,(203) 977-4009/4010,rmalloy@stamfordct.gov;lcorelli@stamfordct.gov,"888 Washington Blvd.
Stamford, CT 6901",
Sterling,Connecticut,TRUE,http://www.sterlingct.us/departments/registrar-of-voters/,(860) 564-2654,registrars@sterlingct.us,"1183 Plainfield Pike
Oneco, CT 6373","PO Box 157
Oneco, CT 6373"
Stonington,Connecticut,TRUE,http://www.stonington-ct.gov/registrars-of-voters,(860) 535-5054,mcawley@stonington-ct.gov;klinehan@stoneington-ct.gov,"Town Hall, 152 Elm Street
Stonington, CT 6378",
Stratford,Connecticut,TRUE,http://www.townofstratford.com/content/39832/39846/39935/default.aspx,(203) 385-4049/4048,rmarcone@townofstatford.com;ldecilio@townofstratford.com,"2725 Main Street Rm. 117
Stratford, CT 6615",
Suffield,Connecticut,TRUE,http://www.suffieldtownhall.com/content/10048/10202/10267/default.aspx,(860) 668-3850,dburrell@suffieldct.gov;ljoyal@uffieldct.gov,"83 Mountain Road
Suffield, CT 6078",
Thomaston,Connecticut,TRUE,http://www.thomastonct.org/Content/Registrar_of_Voters_.asp,(860) 283-6187,registrar@thomastonct.org,"158 Main Street
Thomaston, CT 6787",
Thompson,Connecticut,TRUE,http://www.thompsonct.org/index.php/departments-157/registrars-of-voters.html,(860) 923-9900,rovdem@thompsonct.org;rovrep@thomponct.org,"815 Riverside Drive
North Grosvenordale, CT 6255","PO Box 899
North Grosvenordale, CT 6255"
Tolland,Connecticut,TRUE,http://www.tolland.org/elections-administration,(860) 871-3634/ 3638,mwyman@tolland.org;lbach@tolland.org,"21 Tolland Green
Tolland, CT 6084",
Torrington,Connecticut,TRUE,http://www.torringtonct.org/Public_Documents/TorringtonCT_Registrars/index,(860) 489-2239/2227,ciesco@optonline.net;edwilmot@sbcglobal.net,"140 Main Street
Torrington, CT 6790",
Trumbull,Connecticut,TRUE,http://www.trumbull-ct.gov/content/10623/10655/10919/default.aspx,(203) 452-5059/5058,mmarkham@trumbull-ct.gov;wholden@trumbull-ct.gov,"5866 Main Street
Trumbull, CT 6611",
Union,Connecticut,TRUE,http://www.unionconnecticut.org/registrar.html,(860) 684-8832,jed.lamb98@gmail.com;johnroushl@hotmail.com,"621 Buckley Highway
Union, CT 6076",
Vernon,Connecticut,TRUE,http://www.vernonelections.org/,(860) 896-2376,vernon.dem@gmail.com;vernon.rep@gmail.com,"375 Hartford Turnpike #117
Vernon, CT 6066",
Voluntown,Connecticut,TRUE,http://www.voluntown.gov/registrar-of-voters/,(860) 376-4089,jmelgey@voluntown@gov;dflectcher@voluntown.gov,"Town Hall, 115 Main Street
Voluntown, CT 6384","PO Box 96
Voluntown, CT 6384"
Wallingford,Connecticut,TRUE,http://www.town.wallingford.ct.us/Content/Registrar_of_Voters.asp,(203) 294-2125,regvoters@wallingfordct.gov,"45 South Main Street
Wallingford, CT 6492",
Warren,Connecticut,TRUE,http://www.warrenct.org/voter-registration,(860) 868-0090,registrars@warrenct.org,"50 Cemetery Road
Warren, CT 6754",
Washington,Connecticut,TRUE,http://www.washingtonct.org/registrar-of-voters,(860) 868-2786,registrars@washingtonct.org;rachase@snet.net,"2 Bryan Plaza
Washington Depot, CT 6794","PO Box 2016
New Preston, CT 06794-0383"
Waterbury,Connecticut,TRUE,http://www.waterburyct.org/content/9569/9605/9636/default.aspx,(203) 574-6751,tbegnal@waterburyct.org;tdecarlo@waterburyct.org,"236 Grand Street
Waterbury, CT 6702",
Waterford,Connecticut,TRUE,http://www.waterfordct.org/registrar-of-voters,(860) 444-5836,jwatsonjones@waterfordct.org;pwaters@waterfordct.org,"15 Rope Ferry Road
Waterford, CT 6385",
Watertown,Connecticut,TRUE,http://www.watertownct.org/content/10298/4329/default.aspx,(860) 945-5239,hughes@watertownct.org;porter@watertownct.org,"61 Echo Lake Rd
Watertown, CT 6795",
West Hartford,Connecticut,TRUE,https://www.westhartfordct.gov/gov/departments/registrars_of_voters/default.asp,(860) 561-7456/7455,patrice.peterson@westharfordct.gov;beth.kyle@westhardfordct.gov,"50 S MAIN ST Rm 209
West Hartford, CT 6107",
West Haven,Connecticut,TRUE,http://www.cityofwesthaven.com/departments-Registrar-of-Voters.htm,(203) 937-3540,callegari@westhaven-ct.gov;slepper@westhaven-ct.gov,"355 MAIN ST
West Haven, CT 6516",
Westbrook,Connecticut,TRUE,http://westbrookct.us/voter-information.php,(860) 399-3042,jcrawford@westbrookct.us;talaimo@westbrookct.us,"866 BOSTON POST RD
Westbrook, CT 6498",
Weston,Connecticut,TRUE,,(203) 222-2686,votereg@westonct.gov,"56 NORFIELD RD
Weston, CT 6883","PO BOX 1007
Weston, CT 6883"
Westport,Connecticut,TRUE,http://www.westportct.gov/index.aspx?page=204,(203) 341-1115,mcowden@westportct.gov;rruggiano@westportct.gov,"110 MYRTLE AVE
Westport, CT 6880",
Wethersfield,Connecticut,TRUE,http://wethersfieldct.com/content/398/406/default.aspx,(860) 721-2819/2820,carol.hurley@wethersfieldct.gov;camille.mogelnicki@wethersfieldct.gov,"505 SILAS DEANE HWY
Wethersfield, CT 6109",
Willington,Connecticut,TRUE,http://www.willingtonct.org/Public_Documents/WillingtonCT_WebDocs/election,(860) 487-3120,willington.dem@gmail.com;willington.rep@gmail.com,"40 OLD FARMS RD
Willington, CT 6279",
Wilton,Connecticut,TRUE,http://www.wiltonct.org/departments/Voter/voter.html,(203) 563-0112/0113,registrars@wiltonct.org,"238 DANBURY RD
Wilton, CT 6897",
Winchester,Connecticut,TRUE,http://www.townofwinchester.org/registrar-of-voters,"(860) 379-2714, ext. 354/355",registrar@townofwinchester.org,"338 MAIN ST 2nd FL
Winsted, CT 6098",
Windham,Connecticut,TRUE,http://www.windhamct.com/department.htm?id=2cwurluv,(860) 465-3016,registrars@windhamct.com,"979 MAIN ST
Willimantic, CT 6226",
Windsor,Connecticut,TRUE,http://www.townofwindsorct.com/registrar/,(860) 285-1955,mips@townofwindsorct.com;andrews@townofwindsorct.com,"2 Mips Dr
Windsor, CT 6095",
Windsor Locks,Connecticut,TRUE,http://www.windsorlocksct.org/registrar-of-voters/registrar-of-voters,(860) 627-1441,registrars@wlocks.com,"50 Church Street
Windsor Locks, CT 6096",
Wolcott,Connecticut,TRUE,,(203) 879-8100 x115,jpape@wolcottct.org;pnajarian@wolcottct.org,"10 Kenea Avenue
Wolcott, CT 6716",
Woodbridge,Connecticut,TRUE,http://www.woodbridgect.org/content/6585/6639/default.aspx,(203) 389-3408/409,ealexiades@woodbridgect.org;adickerson@woodbridgect.org,"11 Meetinghouse Lane
Woodbridge, CT 6525",
Woodbury,Connecticut,TRUE,http://woodburyct.org/index.asp?SEC=0325590A-8A19-47C1-B0DF-A619E8ABC512&Type=B_BASIC,(203) 263-4750 x106,registrardem@woodburyct.org;registrarrep@woodburyct.org,"281 Main Street South
Woodbury, CT 6798",
Woodstock,Connecticut,TRUE,http://www.townofwoodstock.com/index.php/elections/registrar-of-voters.html,"(860) 928-6595, ext. 39",woodstock.dem@gmail.com;woodstock.rep@gmail.com,"415 ROUTE 169
Woodstock, CT 6281",
