name,state,city,office_address,mailing_address,telephone,email
Sutton,Vermont,TRUE,"167 Underpass Road
Sutton, VT 05867",,802.467.3377,townclerksutton@gmail.com
Swanton,Vermont,TRUE,"1 Academy Street
Swanton, VT 05488","P.O. Box 711
Swanton, VT 05488",802-868-4421,townclerk@swantonvermont.org
Thetford,Vermont,TRUE,"3910 VT Route 113
Thetford Ctr, VT 05075","P.O. Box 126
Thetford Ctr, VT 05075",802-785-2922x5,townclerk@thetfordvermont.us
Tinmouth,Vermont,TRUE,"9 Mountain View Road
Tinmouth, VT 05773","515 North End Road
Tinmouth, VT 05773",802-446-2498,tinmouthtown@vermontel.net
Topsham,Vermont,TRUE,"6 Harts Road
Topsham, VT 05076","P.O. Box 69
Topsham, VT 05076",802-439-5505,topsham@tops-tele.com
Townshend,Vermont,TRUE,"2006 VT route 30
Townshend, VT 05353","P.O. Box 223
Townshend, VT 05353",802-365-7300,townshendtownclerk@gmail.com
Troy,Vermont,TRUE,"142 Main Street
North Troy, VT 05859",,802-988-2663,townoftroy@comcast.net
Tunbridge,Vermont,TRUE,"271 VT RT 110
Tunbridge, VT 05077","P.O. Box 6
Tunbridge, VT 05077",802-889-5521,tctunbridge@live.com
Underihill,Vermont,TRUE,"12 Pleasant Valley Road
Underhill, VT 05489","P.O. Box 120
Underhill, VT 05489",802-899-4434 x101,smorin@underhillvt.gov
Vergennes,Vermont,TRUE,"120 Main Street
Vergennes, VT 05491","P.O. Box 35
Vergennes, VT 05491",802-877-2841,clerk@vergennes.org
Vernon,Vermont,TRUE,"567 Governor Hunt Road
Vernon, VT 05354",,802-257-0292,clerk@vernonvt.org
Vershire,Vermont,TRUE,"6894 VT RT 113
Vershire, VT 05079",,802-685-2227,clerk-treasurer@vershirevt.org
Victory,Vermont,TRUE,"102 Radar Road
Victory, VT 05858","P.O. Box 609
North Concord, VT 05858",802.328.2400,townofvictory@myfairpoint.net
Waitsfield,Vermont,TRUE,"4144 Main Street
Waitsfield, VT 05673",,802-496-2218x3,waitsfieldclerk@gmavt.net
Walden,Vermont,TRUE,"12 VT Route 215
West Danville, VT 05873",,802-563-2220,waldentc@pivot.net
Wallingford,Vermont,TRUE,"75 School Street
Wallingford, VT 05773",,802-446-2336,townclerk@wallingfordvt.com
Waltham,Vermont,TRUE,"2053 Maple Street
Waltham, VT 05491","P.O. Box 175
Vergennes, VT 05491",802-877-3641,waltham@myfairpoint.net
Wardsboro,Vermont,TRUE,"71 Main Street
Wardsboro, VT 05355","P.O. Box 48
Wardsboro, VT 05355",802-896-6055,wardsborotownoffice@myfairpoint.net
Warren,Vermont,TRUE,"42 Cemetery Road
Warren, VT 05674","P.O. Box 337
Warren, VT 05674",802-496-2709,clerk@warrenvt.org
Washington,Vermont,TRUE,"2895 VT Route 110
Washington, VT 05675",,802-883-2218,washingtontownclerk@gmail.com
Waterbury,Vermont,TRUE,"28 North Main Street, Suite. 1
Waterbury, VT 05676",,802-244-8447,clawrence@waterburyvt.com
Waterford,Vermont,TRUE,"532 Maple Street
Lower Waterford, VT 05848","P.O. Box 56
Lower Waterford, VT 05848",802-748-2122,townofwaterford@gmail.com
Waterville,Vermont,TRUE,"850 VT Route 109
Waterville, VT 05492","P.O. Box 31
Waterville, VT 05492",802-644-8865,townofwaterville@myfairpoint.net
Weathersfield,Vermont,TRUE,"5259 Route 5
Ascutney, VT 05030","P.O. Box 550
Ascutney, VT 05030",802-674-9500,townclerk@weathersfield.org
Wells,Vermont,TRUE,"1064 VT Route 30
Wells, VT 05774","P.O. Box 585
Wells, VT 05774",802.645.0486,wellstownclerk@comcast.net
West Fairlee,Vermont,TRUE,"870 VT Route 113
West Fairlee, VT 05083",,802-333-9696,westfairleetc@hotmail.com
West Haven,Vermont,TRUE,"2919 Main Road
West Haven, VT 05743",,802-265-4880,townofwesthaven@myfairpoint.net
West Rutland,Vermont,TRUE,"35 Marble Street
West Rutland, VT 05777",,802-438-2204,cwener@westrutlandvt.org
West Windsor,Vermont,TRUE,"22 Brownsville-Hartland Road
West Windsor, VT 05089","P.O. Box 6
Brownsville, VT 05037",802-484-7212,townclerk@westwindsorvt.org
Westfield,Vermont,TRUE,"38 School St
Westfield, VT 05874",,802-744-2484,townofwestfield@comcast.net
Westford,Vermont,TRUE,"1713 VT Route 128
Westford, VT 05494",,802-878-4587,townclerk@westfordvt.us
Westminster,Vermont,TRUE,"3651 US Route 5
Westminster, VT 05158","P.O. Box 147
Westminster, VT 05158",802-722-4091,clerk@westminstervt.org
Westmore,Vermont,TRUE,"54 Hinton Hill Road
Orleans, VT 05860",,802-525-3007,clerk@westmoreonline.org
Weston,Vermont,TRUE,"12 Lawrence Hill Road
Weston, VT 05161","P.O. Box 98
Weston, VT 05161",802-824-6645,clerk@westonvt.org
Weybridge,Vermont,TRUE,"1727 Quaker Village Road
Weybridge, VT 05753",,802-545-2450,clerk@townofweybridge.org
Wheelock,Vermont,TRUE,"1192 Route 122
Wheelock, VT 05851","P.O. Box 1328
Lyndonville, VT 05851",802 626-9094,wheelocktown@gmail.com
Whiting,Vermont,TRUE,"29 South Main Street
Whiting, VT 05778",,802-623-7813,townofwhiting@shoreham.net
Whitingham,Vermont,TRUE,"2948 Vermont Route 100
Jacksonville, VT 05342","P.O. Box 529
Jacksonville, VT 05342",802-368-7887,whitinghamtownclerk@yahoo.com
Williamstown,Vermont,TRUE,"2470 VT RT 14
Williamstown, VT 05679","P.O. Box 646
Williamstown, VT 05679",802-433-5455,clerk@williamstownvt.org
Williston,Vermont,TRUE,"7900 Williston Road
Williston, VT 05495",,802-878-5121,dbeckett@willistonvt.org
Wilmington,Vermont,TRUE,"2 East Main Street
Wilmington, VT 05363","P.O. Box 217
Wilmington, VT 05363",802-464-5836,shaughwout@wilmingtonvt.us
Windham,Vermont,TRUE,"5976 Windham Hill Road
Windham, VT 05359",,802-874-4211,windham.town@gmail.com
Windsor,Vermont,TRUE,"29 Union Street
Windsor, VT 05089",,802-674-5610,amcmullen@windsorvt.org
Winhall,Vermont,TRUE,"115 VT Route. 30
Bondville, VT 05340",,802-297-2122,winclerk@comcast.net
Winooski,Vermont,TRUE,"27 West Allen Street
Winooski, VT 05404",,802-655-6419,cbarrett@winooskivt.gov
Wolcott,Vermont,TRUE,"28 Railroad Street
Wolcott, VT 05680","P.O. Box 100
Wolcott, VT 05680",802-888-2746,wolcott@pshift.com
Woodbury,Vermont,TRUE,"1672 Route 14
Woodbury, VT 05681","P.O. Box 10
Woodbury, VT 05681",802 456 7051,woodburyclerk@comcast.net
Woodford,Vermont,TRUE,"1391 VT Route 9
Woodford, VT 05201",,802 442-4895,woodfordvt@comcast.net
Woodstock,Vermont,TRUE,"31 The Green
Woodstock, VT 05091",,802-457-3611,clerk@townofwoodstock.org
Worcester,Vermont,TRUE,"20 Worcester Village Road
Worcester, VT 05682","P.O. Box 161
Worcester, VT 05682",802-223-6942,worcestertclerk@comcast.net
